投稿日,時刻,場,R,モード,締切,買い目,結果(3連単),的中,配当(円),倍率
2026-09-17,12:53,多摩川,8,中穴,14:02,1-2-3 / 1-2-5 / 1-3-2 / 1-3-5 / 2-1-3 / 2-1-5 / 2-3-1 / 2-3-5,4-6-1,×,6610,
2026-09-17,16:29,下関,6,堅い,17:48,1-2-3 / 1-2-4 / 1-3-2 / 1-3-4 / 2-1-3 / 2-1-4,1-2-5,×,1820,
2026-09-17,17:57,大村,6,堅い,19:56,1-2-4 / 1-2-6 / 1-4-2 / 1-4-6 / 4-1-2 / 4-1-6,4-1-5,×,2530,
2026-09-17,18:47,下関,12,堅い,20:45,1-2-3 / 1-2-4 / 1-3-2 / 1-3-4 / 2-1-3 / 2-1-4 / 3-1-2 / 3-1-4,1-2-3,的中,580,5.8
2026-09-18,10:14,多摩川,4,中穴,11:57,1-2-3 / 1-2-5 / 1-3-2 / 1-3-5 / 3-1-2 / 3-1-5 / 3-2-1 / 3-2-5,5-2-6,×,38200,
2026-09-18,11:36,びわこ,7,堅い,13:17,1-2-3 / 1-2-5 / 1-3-2 / 1-3-5 / 2-1-3 / 2-1-5 / 3-1-2 / 3-1-5,1-2-4,×,1200,
2026-09-18,12:53,宮島,7,堅い,13:40,1-2-3 / 1-2-5 / 1-5-2 / 1-5-3 / 2-1-3 / 2-1-5 / 5-1-2 / 5-1-3,1-5-2,的中,610,6.1
2026-09-18,14:54,尼崎,11,堅い,15:41,1-2-3 / 1-2-5 / 1-3-2 / 1-3-5 / 2-1-3 / 2-1-5 / 3-1-2 / 3-1-5,1-2-3,的中,370,3.7
2026-09-18,16:29,大村,1,堅い,17:41,1-4-2 / 1-4-6 / 1-6-2 / 1-6-4 / 4-1-2 / 4-1-6 / 6-1-2 / 6-1-4,1-4-6,的中,560,5.6
2026-09-18,17:32,丸亀,8,堅い,18:41,1-2-3 / 1-2-4 / 1-4-2 / 1-4-3 / 2-1-3 / 2-1-4 / 4-1-2 / 4-1-3,1-2-4,的中,460,4.6
